CITY,TIMEZONE,YEAR,STR_SWH,STR_EWH,STR_TOTAL_WORKINDARK
IZMIR,  3.0,2026,07:00:00,16:00:00,162:38:59
IZMIR,  3.0,2024,07:30:00,16:30:00,82:58:59 
IZMIR,  3.0,2025,07:30:00,16:30:00,82:05:59 
IZMIR,  3.0,2026,07:30:00,16:30:00,82:11:59 
IZMIR,  3.0,2024,08:00:00,17:00:00,26:48:59 
IZMIR,  3.0,2025,08:00:00,17:00:00,26:26:59 
IZMIR,  3.0,2026,08:00:00,17:00:00,26:31:59 
IZMIR,  3.0,2024,08:30:00,17:30:00,0:00:00  
IZMIR,  3.0,2025,08:30:00,17:30:00,0:00:00  
IZMIR,  3.0,2026,08:30:00,17:30:00,0:00:00  
IZMIR,  3.0,2024,09:00:00,18:00:00,5:21:59  
IZMIR,  3.0,2025,09:00:00,18:00:00,5:21:59  
IZMIR,  3.0,2026,09:00:00,18:00:00,5:18:59  
ANKARA,  2.0,2024,07:00:00,16:00:00,5:22:00  
ANKARA,  2.0,2025,07:00:00,16:00:00,5:12:59  
ANKARA,  2.0,2026,07:00:00,16:00:00,5:11:00  
ANKARA,  2.0,2024,07:30:00,16:30:00,3:08:00  
ANKARA,  2.0,2025,07:30:00,16:30:00,3:11:00  
ANKARA,  2.0,2026,07:30:00,16:30:00,3:11:00  
ANKARA,  2.0,2024,08:00:00,17:00:00,39:03:00 
ANKARA,  2.0,2025,08:00:00,17:00:00,38:35:00 
ANKARA,  2.0,2026,08:00:00,17:00:00,38:41:00 
ANKARA,  2.0,2024,08:30:00,17:30:00,99:19:00 
ANKARA,  2.0,2025,08:30:00,17:30:00,98:21:00 
ANKARA,  2.0,2026,08:30:00,17:30:00,98:27:00 
ANKARA,  2.0,2024,09:00:00,18:00:00,182:07:00
ANKARA,  2.0,2025,09:00:00,18:00:00,180:42:00
ANKARA,  2.0,2026,09:00:00,18:00:00,180:46:00
ANKARA,  2.5,2024,07:00:00,16:00:00,44:17:59 
ANKARA,  2.5,2025,07:00:00,16:00:00,43:41:59 
ANKARA,  2.5,2026,07:00:00,16:00:00,43:42:59 
ANKARA,  2.5,2024,07:30:00,16:30:00,5:21:59  
ANKARA,  2.5,2025,07:30:00,16:30:00,5:12:59  
ANKARA,  2.5,2026,07:30:00,16:30:00,5:10:59  
ANKARA,  2.5,2024,08:00:00,17:00:00,3:08:00  
ANKARA,  2.5,2025,08:00:00,17:00:00,3:11:00  
ANKARA,  2.5,2026,08:00:00,17:00:00,3:11:00  
ANKARA,  2.5,2024,08:30:00,17:30:00,39:03:00 
ANKARA,  2.5,2025,08:30:00,17:30:00,38:35:00 
ANKARA,  2.5,2026,08:30:00,17:30:00,38:41:00 
ANKARA,  2.5,2024,09:00:00,18:00:00,99:19:00 
ANKARA,  2.5,2025,09:00:00,18:00:00,98:21:00 
ANKARA,  2.5,2026,09:00:00,18:00:00,98:27:00 
ANKARA,  3.0,2024,07:00:00,16:00:00,107:48:00
ANKARA,  3.0,2025,07:00:00,16:00:00,106:41:00
ANKARA,  3.0,2026,07:00:00,16:00:00,106:40:00
ANKARA,  3.0,2024,07:30:00,16:30:00,44:18:00 
ANKARA,  3.0,2025,07:30:00,16:30:00,43:42:00 
ANKARA,  3.0,2026,07:30:00,16:30:00,43:43:00 
ANKARA,  3.0,2024,08:00:00,17:00:00,5:22:00  
ANKARA,  3.0,2025,08:00:00,17:00:00,5:13:00  
ANKARA,  3.0,2026,08:00:00,17:00:00,5:11:00  
ANKARA,  3.0,2024,08:30:00,17:30:00,3:08:00  
ANKARA,  3.0,2025,08:30:00,17:30:00,3:11:00  
ANKARA,  3.0,2026,08:30:00,17:30:00,3:11:00  
ANKARA,  3.0,2024,09:00:00,18:00:00,39:03:00 
ANKARA,  3.0,2025,09:00:00,18:00:00,38:35:00 
ANKARA,  3.0,2026,09:00:00,18:00:00,38:41:00 
SINOP,  2.0,2024,07:00:00,16:00:00,3:09:00  
SINOP,  2.0,2025,07:00:00,16:00:00,3:04:00  
SINOP,  2.0,2026,07:00:00,16:00:00,3:01:00  
SINOP,  2.0,2024,07:30:00,16:30:00,17:48:00 
SINOP,  2.0,2025,07:30:00,16:30:00,17:35:00 
SINOP,  2.0,2026,07:30:00,16:30:00,17:33:00 
SINOP,  2.0,2024,08:00:00,17:00:00,65:12:00 
SINOP,  2.0,2025,08:00:00,17:00:00,64:30:00 
SINOP,  2.0,2026,08:00:00,17:00:00,64:27:00 
SINOP,  2.0,2024,08:30:00,17:30:00,133:52:00
SINOP,  2.0,2025,08:30:00,17:30:00,132:41:00
SINOP,  2.0,2026,08:30:00,17:30:00,132:39:59
SINOP,  2.0,2024,09:00:00,18:00:00,223:44:00
SINOP,  2.0,2025,09:00:00,18:00:00,222:03:00
SINOP,  2.0,2026,09:00:00,18:00:00,222:03:59
SINOP,  2.5,2024,07:00:00,16:00:00,38:15:00 
SINOP,  2.5,2025,07:00:00,16:00:00,37:37:00 
SINOP,  2.5,2026,07:00:00,16:00:00,37:36:00 
SINOP,  2.5,2024,07:30:00,16:30:00,3:09:00  
SINOP,  2.5,2025,07:30:00,16:30:00,3:04:00  
SINOP,  2.5,2026,07:30:00,16:30:00,3:01:00  
SINOP,  2.5,2024,08:00:00,17:00:00,17:48:00 
SINOP,  2.5,2025,08:00:00,17:00:00,17:35:00 
SINOP,  2.5,2026,08:00:00,17:00:00,17:33:00 
SINOP,  2.5,2024,08:30:00,17:30:00,65:12:00 
SINOP,  2.5,2025,08:30:00,17:30:00,64:30:00 
SINOP,  2.5,2026,08:30:00,17:30:00,64:27:00 
SINOP,  2.5,2024,09:00:00,18:00:00,133:52:00
SINOP,  2.5,2025,09:00:00,18:00:00,132:41:00
SINOP,  2.5,2026,09:00:00,18:00:00,132:39:59
SINOP,  3.0,2024,07:00:00,16:00:00,97:00:00 
SINOP,  3.0,2025,07:00:00,16:00:00,95:51:00 
SINOP,  3.0,2026,07:00:00,16:00:00,95:50:00 
SINOP,  3.0,2024,07:30:00,16:30:00,38:15:00 
